Company,Sector,Location_Ontario,Size_est,Public_source_URL,Contact_role,Public_contact,Why_fit,Recommended_offer,Consent_basis,Status,Next_action
EXAMPLE — fill from public sources only; do not invent real contacts,,,,,,,,,,,
"[Accounting firm]",Accounting,Burlington,20-60 staff,<firm website contact page>,Managing Partner / Office Mgr,<published business email>,M365-heavy; handles client financial data; likely no formal review,Hardening Sprint (Standard),Published business email (CASL),New,Send Template 2
"[Bookkeeping practice]",Bookkeeping,Hamilton,5-20 staff,<directory listing URL>,Owner,<published business email>,Small M365 tenant; budget-cautious,Security Quick-Audit,Published business email (CASL),New,Send Template 1
"[Law firm]",Legal,Oakville,10-40 staff,<firm website>,Practice Manager,<published business email>,Confidential client data; sharing/MFA risk,Hardening Sprint (Standard),Published business email (CASL),New,Send Template 2
"[Paralegal office]",Legal,Burlington,2-10 staff,<directory listing URL>,Principal,<published business email>,Small but sensitive data,Security Quick-Audit,Published business email (CASL),New,Send Template 1
"[Physiotherapy clinic]",Healthcare,Burlington,5-25 staff,<clinic website>,Clinic Director,<published business email>,Handles PHI; PHIPA exposure — HUMAN REVIEW,PHIPA Readiness Assessment,Express consent (seek first),New,Send Template 3 (flag human)
"[Dental practice]",Healthcare,Hamilton,10-30 staff,<clinic website>,Office Manager,<published business email>,PHI; intake forms online — HUMAN REVIEW,PHIPA Readiness Assessment,Express consent (seek first),New,Send Template 3 (flag human)
"[Property management co.]",Real estate,Oakville,15-50 staff,<company website>,Operations Manager,<published business email>,Manual onboarding/offboarding; M365,Automation-as-a-Service,Published business email (CASL),New,Send Template 4
"[Real estate brokerage]",Real estate,Burlington,20-80 agents,<brokerage website>,Broker of Record,<published business email>,Many user accounts; turnover,Hardening Sprint (Plus),Published business email (CASL),New,Send Template 2
"[Non-profit / association]",Non-profit,Hamilton,5-25 staff,<org website>,Executive Director,<published business email>,Limited IT; wants baseline,Security Quick-Audit,Published business email (CASL),New,Send Template 1
"[Small MSP / IT shop]",IT services,Burlington,3-15 staff,<company website>,Owner,<published business email>,Needs overflow automation capacity,Automation-as-a-Service,Published business email (CASL),New,Send Template 4
