Company,Sector,Location_Ontario,Size_est,Public_source_URL,Contact_role,Public_contact,Why_fit,Recommended_offer,Consent_basis,Status,Next_action
"NOTE: Verify each business email from the firm's public Contact page before sending. CASL footer + opt-out required. Health/clinics intentionally excluded (express consent / human review).",,,,,,,,,,,
"Positive Accounting",Accounting,Oakville,est. 10-30 staff,https://www.positiveaccounting.ca/,Principal / Office Manager,"Confirm via /contact (published business email)","M365-heavy; handles client financial data; SMB focus, likely no formal security review",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"Cassar CPA",Accounting,Oakville,est. 15-40 staff,https://cassarcpa.ca/accounting-firm-oakville/,Partner / Practice Manager,"Confirm via /contact","Multi-office (Oakville & Toronto); 'latest technology' positioning = good fit for CIS baseline review",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"Taxory",Accounting / Bookkeeping,Oakville,est. 5-20 staff,https://taxory.com/accounting-firm-oakville/,Owner,"Confirm via /contact","Small/medium corporate clients; cloud bookkeeping; budget-conscious",Security Quick-Audit,Published business email (CASL),New,Personalize + send Template 1
"S+D Accounting",Bookkeeping,Burlington,est. 5-15 staff,https://sdaccounting.ca/,Owner,"Confirm via /contact","Cloud tools + payroll; small tenant; good Quick-Audit -> Sprint path",Security Quick-Audit,Published business email (CASL),New,Personalize + send Template 1
"Martin & Hillyer Associates",Legal,Burlington,est. 10-30 staff,https://www.mhalaw.ca/about/,Practice Manager,"Confirm via /contact","50+ yr firm; confidential client data; M365 sharing/MFA risk",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"Brechin & Huffman LLP",Legal,Burlington,7 lawyers / 30+ staff,https://brechinandhuffman.com/,Office Manager,"Confirm via /contact","~40 people; real estate & business law; sensitive data; clear Sprint fit",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"Cass & Bishop",Legal,Burlington,est. 10-25 staff,https://www.cassbishop.ca/,Practice Manager,"Confirm via /contact","Real estate/corporate/estate law; confidential records",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"Henderson Property Management Inc.",Property management,Oakville,est. 15-50 staff,https://hendersonpropertymanagement.ca/,Operations Manager,"Confirm via /contact","Manages resident/owner PII; staff turnover = offboarding risk; M365",Hardening Sprint (Standard),Published business email (CASL),New,Personalize + send Template 2
"The Enfield Group Inc.",Property management,Burlington / Golden Horseshoe,est. 30-80 staff,https://www.enfield.net/,Operations / IT lead,"Confirm via /contact","Large multi-property portfolio; many user accounts; automation + hardening fit",Hardening Sprint (Plus),Published business email (CASL),New,Personalize + send Template 2
"Arthex Property Management (1983) Inc.",Property management,Burlington,est. 15-40 staff,https://www.arthex.ca/,Operations Manager,"Confirm via /contact","Established portfolio manager; turnover-driven offboarding risk; M365",Hardening Sprint (Standard) / Automation,Published business email (CASL),New,Personalize + send Template 2 or 4
